wl,n
0.2066,1.368
0.2101,1.360
0.2138,1.354
0.2175,1.370
0.2214,1.399
0.2254,1.447
0.2296,1.528
0.2339,1.661
0.2384,1.857
0.2431,2.110
0.2480,2.426
0.2530,2.833
0.2583,3.233
0.2638,3.751
0.2695,4.107
0.2755,4.112
0.2818,4.004
0.2883,3.928
0.2952,3.893
0.3024,3.904
0.3100,3.962
0.3179,4.078
0.3263,4.267
0.3351,4.462
0.3444,4.613
0.3542,4.667
0.3647,4.562
0.3757,4.413
0.3875,4.277
0.3999,4.155
0.4133,4.050
0.4275,3.961
0.4428,3.872
0.4592,3.787
0.4769,3.738
0.4959,3.635
0.5166,3.519
0.5391,3.440
0.5636,3.378
0.5904,3.322
0.6199,3.277
0.6525,3.236
0.6888,3.202
0.7293,3.173
0.7749,3.147
0.8266,3.124

wl,k
0.2066,2.409
0.2101,2.473
0.2138,2.560
0.2175,2.667
0.2214,2.792
0.2254,2.935
0.2296,3.104
0.2339,3.293
0.2384,3.475
0.2431,3.635
0.2480,3.763
0.2530,3.815
0.2583,3.765
0.2638,3.582
0.2695,3.128
0.2755,2.639
0.2818,2.389
0.2883,2.256
0.2952,2.183
0.3024,2.144
0.3100,2.119
0.3179,2.092
0.3263,2.013
0.3351,1.820
0.3444,1.561
0.3542,1.199
0.3647,0.890
0.3757,0.685
0.3875,0.541
0.3999,0.437
0.4133,0.353
0.4275,0.276
0.4428,0.205
0.4592,0.161
0.4769,0.104
0.4959,0.013
0.5166,0.004
0.5391,0.003
0.5636,0.000
0.5904,0.000
0.6199,0.000
0.6525,0.000
0.6888,0.000
0.7293,0.000
0.7749,0.000
0.8266,0.000
